Year,Cause Name,State,Deaths,Age-adjusted Death Rate,State Population,Death Proportion
2016,Influenza and pneumonia,Georgia,1423,14.3,10304763,0.1381
2016,Influenza and pneumonia,Florida,2808,9.3,20629982,0.1361
2016,Influenza and pneumonia,District of Columbia,78,11.5,686575,0.1136
2016,Influenza and pneumonia,Delaware,132,10.7,949216,0.1391
2016,Influenza and pneumonia,Connecticut,572,11.7,3578674,0.1598
2016,Influenza and pneumonia,Colorado,533,9.6,5540921,0.0962
2016,Influenza and pneumonia,California,5981,14,39209127,0.1525
2016,Influenza and pneumonia,Arkansas,623,17.1,2990410,0.2083
2016,Influenza and pneumonia,Arizona,885,10.4,6945452,0.1274
2016,Influenza and pneumonia,Alaska,61,12.5,741504,0.0823
2016,Influenza and pneumonia,Alabama,987,17.1,4864745,0.2029
2016,Heart disease,Wyoming,1051,157.8,584290,1.7988
2016,Heart disease,Wisconsin,11526,154.9,5772958,1.9966
2016,Heart disease,West Virginia,4767,191,1830929,2.6036
2016,Heart disease,Washington,11161,136.1,7294680,1.53
2016,Heart disease,Virginia,14124,150.7,8410946,1.6792
2016,Heart disease,Vermont,1366,158.8,623644,2.1904
2016,Heart disease,Utah,3636,150,3042613,1.195
2016,Heart disease,United States,635260,165.5,323071342,1.9663
2016,Heart disease,Texas,43772,167.7,27937492,1.5668
2016,Heart disease,Tennessee,15429,198.8,6645011,2.3219
2016,Heart disease,South Dakota,1729,153.4,862890,2.0037
2016,Heart disease,South Carolina,10195,173.8,4958235,2.0562
2016,Heart disease,Rhode Island,2256,152.4,1057063,2.1342
2016,Heart disease,Pennsylvania,31990,176.2,12783538,2.5024
2016,Heart disease,Oregon,6968,135,4091404,1.7031
2016,Heart disease,Oklahoma,10209,228.2,3926769,2.5998
2016,Heart disease,Ohio,27410,185.1,11635003,2.3558
2016,Heart disease,North Dakota,1338,140.9,754353,1.7737
2016,Heart disease,North Carolina,18266,155.8,10156679,1.7984
2016,Heart disease,New York,44076,177.8,19641589,2.244
2016,Heart disease,New Mexico,3800,150.6,2092789,1.8158
2016,Heart disease,New Jersey,18597,164.7,8874516,2.0956
2016,Heart disease,New Hampshire,2631,151.1,1342373,1.96
2016,Heart disease,Nevada,6457,205.9,2919772,2.2115
2016,Heart disease,Nebraska,3322,140.3,1905924,1.743
2016,Heart disease,Montana,2138,154.4,1040863,2.0541
2016,Heart disease,Missouri,14579,192.1,6087203,2.395
2016,Heart disease,Mississippi,7865,233.1,2988298,2.6319
2016,Heart disease,Minnesota,7825,114.9,5523409,1.4167
2016,Heart disease,Michigan,25304,200.6,9951890,2.5426
2016,Heart disease,Massachusetts,11921,134.8,6826022,1.7464
2016,Heart disease,Maryland,11390,164.3,6004692,1.8968
2016,Heart disease,Maine,2907,149.5,1331370,2.1835
2016,Heart disease,Louisiana,10943,213.1,4678215,2.3391
2016,Heart disease,Kentucky,10519,203,4438229,2.3701
2016,Heart disease,Kansas,5672,159.2,2911263,1.9483
2016,Heart disease,Iowa,6937,162.8,3131785,2.215
2016,Heart disease,Indiana,13952,180.6,6633344,2.1033
2016,Heart disease,Illinois,25013,165.7,12826895,1.95
2016,Heart disease,Idaho,2969,160,1682930,1.7642
2016,Heart disease,Hawaii,2488,127,1428105,1.7422
2016,Heart disease,Georgia,18143,179,10304763,1.7606
2016,Heart disease,Florida,45659,146.2,20629982,2.2132
2016,Heart disease,District of Columbia,1375,211.7,686575,2.0027
2016,Heart disease,Delaware,1974,163.2,949216,2.0796
2016,Heart disease,Connecticut,7051,144.3,3578674,1.9703
2016,Heart disease,Colorado,7277,129.8,5540921,1.3133
2016,Heart disease,California,61573,143.1,39209127,1.5704
2016,Heart disease,Arkansas,8090,223.7,2990410,2.7053
2016,Heart disease,Arizona,11957,138.9,6945452,1.7216
2016,Heart disease,Alaska,831,141,741504,1.1207
2016,Heart disease,Alabama,12832,222.5,4864745,2.6378
2016,Diabetes,Wyoming,112,16.6,584290,0.1917
2016,Diabetes,Wisconsin,1440,19.9,5772958,0.2494
2016,Diabetes,West Virginia,860,34.8,1830929,0.4697
2016,Diabetes,Washington,1673,20.3,7294680,0.2293
2016,Diabetes,Virginia,2062,21.7,8410946,0.2452
2016,Diabetes,Vermont,166,20.5,623644,0.2662
2016,Diabetes,Utah,624,24.6,3042613,0.2051
2016,Diabetes,United States,80058,21,323071342,0.2478
2016,Diabetes,Texas,5470,20.3,27937492,0.1958
2016,Diabetes,Tennessee,1883,24,6645011,0.2834
2016,Diabetes,South Dakota,253,23.7,862890,0.2932
2016,Diabetes,South Carolina,1369,22.3,4958235,0.2761
2016,Diabetes,Rhode Island,239,16.9,1057063,0.2261
2016,Diabetes,Pennsylvania,3560,20.3,12783538,0.2785
2016,Diabetes,Oregon,1240,24,4091404,0.3031
2016,Diabetes,Oklahoma,1393,30.8,3926769,0.3547
2016,Diabetes,Ohio,3568,24.6,11635003,0.3067
2016,Diabetes,North Dakota,171,19.4,754353,0.2267
2016,Diabetes,North Carolina,2811,23.5,10156679,0.2768
2016,Diabetes,New York,4038,16.9,19641589,0.2056
2016,Diabetes,New Mexico,678,27.2,2092789,0.324
2016,Diabetes,New Jersey,1949,17.8,8874516,0.2196
2016,Diabetes,New Hampshire,316,17.9,1342373,0.2354
2016,Diabetes,Nevada,580,17.9,2919772,0.1986
2016,Diabetes,Nebraska,501,21.9,1905924,0.2629
2016,Diabetes,Montana,311,23.6,1040863,0.2988
2016,Diabetes,Missouri,1508,20.1,6087203,0.2477
2016,Diabetes,Mississippi,1084,31.9,2988298,0.3627
2016,Diabetes,Minnesota,1265,19.2,5523409,0.229
2016,Diabetes,Michigan,2672,21.5,9951890,0.2685
2016,Diabetes,Massachusetts,1268,14.9,6826022,0.1858
2016,Diabetes,Maryland,1358,19.6,6004692,0.2262
2016,Diabetes,Maine,463,23.9,1331370,0.3478
2016,Diabetes,Louisiana,1324,25.5,4678215,0.283
2016,Diabetes,Kentucky,1479,28.4,4438229,0.3332
2016,Diabetes,Kansas,727,21.2,2911263,0.2497
2016,Diabetes,Iowa,847,20.9,3131785,0.2705
2016,Diabetes,Indiana,1992,26,6633344,0.3003
2016,Diabetes,Illinois,2781,18.7,12826895,0.2168
2016,Diabetes,Idaho,375,19.8,1682930,0.2228
2016,Diabetes,Hawaii,285,15.1,1428105,0.1996
2016,Diabetes,Georgia,2238,21.2,10304763,0.2172
2016,Diabetes,Florida,5782,19.5,20629982,0.2803
2016,Diabetes,District of Columbia,127,19.8,686575,0.185
2016,Diabetes,Delaware,203,17,949216,0.2139
2016,Diabetes,Connecticut,699,14.9,3578674,0.1953
2016,Diabetes,Colorado,938,16.2,5540921,0.1693
2016,Diabetes,California,9124,21.4,39209127,0.2327
2016,Diabetes,Arkansas,920,25.4,2990410,0.3077
2016,Diabetes,Arizona,2025,23.9,6945452,0.2916
2016,Diabetes,Alaska,124,19.3,741504,0.1672
2016,Diabetes,Alabama,1183,20.1,4864745,0.2432
2016,Cancer,Wyoming,962,140.9,584290,1.6464
2016,Cancer,Wisconsin,11498,158,5772958,1.9917
2016,Cancer,West Virginia,4659,182.2,1830929,2.5446
2016,Cancer,Washington,12594,150.9,7294680,1.7265
2016,Cancer,Virginia,15027,156.1,8410946,1.7866
2016,Cancer,Vermont,1356,158.4,623644,2.1743
2016,Cancer,Utah,3125,122.4,3042613,1.0271
2016,Cancer,United States,598038,155.8,323071342,1.8511
2016,Cancer,Texas,40195,148.5,27937492,1.4387
2016,Cancer,Tennessee,14450,179.9,6645011,2.1746
2016,Cancer,South Dakota,1694,156.7,862890,1.9632
2016,Cancer,South Carolina,10356,167.7,4958235,2.0886
2016,Cancer,Rhode Island,2171,158,1057063,2.0538
2016,Cancer,Pennsylvania,28492,164.7,12783538,2.2288
2016,Cancer,Oregon,8078,155.9,4091404,1.9744
2016,Cancer,Oklahoma,8115,177.8,3926769,2.0666
2016,Cancer,Ohio,25509,173.4,11635003,2.1924
2016,Cancer,North Dakota,1253,142.7,754353,1.661
2016,Cancer,North Carolina,19523,161.6,10156679,1.9222
2016,Cancer,New York,35368,147.5,19641589,1.8007
2016,Cancer,New Mexico,3560,138.8,2092789,1.7011
2016,Cancer,New Jersey,16377,149.7,8874516,1.8454
2016,Cancer,New Hampshire,2875,164.1,1342373,2.1417
2016,Cancer,Nevada,5214,157.3,2919772,1.7858
2016,Cancer,Nebraska,3477,153.6,1905924,1.8243
2016,Cancer,Montana,2031,145.9,1040863,1.9513
2016,Cancer,Missouri,12696,167,6087203,2.0857
2016,Cancer,Mississippi,6568,187.7,2988298,2.1979
2016,Cancer,Minnesota,9857,148.6,5523409,1.7846
2016,Cancer,Michigan,20870,166.4,9951890,2.0971
2016,Cancer,Massachusetts,12717,150.2,6826022,1.863
2016,Cancer,Maryland,10911,156.5,6004692,1.8171
2016,Cancer,Maine,3275,168.9,1331370,2.4599
2016,Cancer,Louisiana,9149,171.9,4678215,1.9557
